track,date,gross_return,positions,turnover,short_exposure,cost,borrow_cost,daily_return_net
news_technical,2023-08-17,-0.003132979418602,1.0,0.0,1.0,0.0001,0.0001,-0.003232979418602
news_technical,2023-08-21,0.0051976470181464,1.0,2.0,0.0,0.0014,0.0,0.0037976470181464
news_technical,2023-08-22,0.0154617523498405,2.0,2.0,2.0,0.0016,0.0002,0.0138617523498405
news_technical,2023-08-23,0.0487240642857518,1.0,0.0,1.0,0.0001,0.0001,0.0486240642857518
news_technical,2023-08-24,0.0081141911887144,1.0,0.0,1.0,0.0001,0.0001,0.0080141911887144
news_technical,2023-08-28,-0.0264773312446228,2.0,4.0,2.0,0.003,0.0002,-0.0294773312446228
news_technical,2023-08-31,-0.0342515254965364,1.0,0.0,1.0,0.0001,0.0001,-0.0343515254965364
news_technical,2023-09-06,-0.0151897307009627,2.0,2.0,0.0,0.0014,0.0,-0.0165897307009627
news_technical,2023-09-07,-0.011034116698144,1.0,0.0,1.0,0.0001,0.0001,-0.011134116698144
news_technical,2023-09-08,-0.005520142957174,2.0,0.0,2.0,0.0002,0.0002,-0.005720142957174
news_technical,2023-09-11,0.029098896947806,4.0,6.0,2.0,0.0043999999999999,0.0002,0.024698896947806
news_technical,2023-09-12,0.0021621013117927,2.0,4.0,2.0,0.003,0.0002,-0.0008378986882072
news_technical,2023-09-13,0.0030739760356032,2.0,0.0,2.0,0.0002,0.0002,0.0028739760356032
news_technical,2023-09-15,-0.0327115345600627,1.0,2.0,0.0,0.0014,0.0,-0.0341115345600627
news_technical,2023-09-18,-0.0238329875543678,3.0,4.0,0.0,0.0028,0.0,-0.0266329875543678
news_technical,2023-09-21,0.00536405882974,2.0,2.0,2.0,0.0016,0.0002,0.00376405882974
news_technical,2023-09-22,0.0058107052210758,1.0,2.0,1.0,0.0015,0.0001,0.0043107052210758
news_technical,2023-09-25,-7.964946331825117e-05,2.0,0.0,2.0,0.0002,0.0002,-0.0002796494633182
news_technical,2023-09-26,0.0144013776438827,1.0,0.0,1.0,0.0001,0.0001,0.0143013776438827
news_technical,2023-09-27,-0.0419793345720535,1.0,0.0,1.0,0.0001,0.0001,-0.0420793345720535
news_technical,2023-09-28,0.0147562168045806,1.0,0.0,1.0,0.0001,0.0001,0.0146562168045806
news_technical,2023-09-29,0.0130384724105623,1.0,0.0,1.0,0.0001,0.0001,0.0129384724105623
news_technical,2023-10-03,0.0268698609638414,3.0,4.0,2.0,0.003,0.0002,0.0238698609638414
news_technical,2023-10-04,-0.0076084649825591,1.0,0.0,0.0,0.0,0.0,-0.0076084649825591
news_technical,2023-10-05,-0.0303554624923599,1.0,0.0,0.0,0.0,0.0,-0.0303554624923599
news_technical,2023-10-06,0.0079959636956506,1.0,2.0,1.0,0.0015,0.0001,0.0064959636956506
news_technical,2023-10-10,0.0309696490665523,1.0,2.0,0.0,0.0014,0.0,0.0295696490665523
news_technical,2023-10-17,0.0130528332729958,2.0,3.0,2.0,0.0023,0.0002,0.0107528332729958
news_technical,2023-10-18,0.0850344136803263,1.0,0.0,1.0,0.0001,0.0001,0.0849344136803263
news_technical,2023-10-20,-0.0081189862046823,1.0,0.0,1.0,0.0001,0.0001,-0.0082189862046823
news_technical,2023-10-23,-0.0239751143308881,3.0,2.0,2.0,0.0016,0.0002,-0.0255751143308881
news_technical,2023-10-24,0.0397486339163101,1.0,2.0,1.0,0.0015,0.0001,0.0382486339163101
news_technical,2023-10-26,0.0644663077071705,1.0,2.0,1.0,0.0015,0.0001,0.0629663077071705
news_technical,2023-10-27,0.0597399245808205,1.0,0.0,1.0,0.0001,0.0001,0.0596399245808205
news_technical,2023-11-01,-0.0310900152676086,3.0,0.0,3.0,0.0003,0.0003,-0.0313900152676086
news_technical,2023-11-02,0.0112927717734976,2.0,2.0,1.0,0.0015,0.0001,0.0097927717734976
news_technical,2023-11-07,0.0313651975554929,1.0,2.0,0.0,0.0014,0.0,0.0299651975554929
news_technical,2023-11-10,0.0096308264798126,1.0,2.0,0.0,0.0014,0.0,0.0082308264798126
news_technical,2023-11-13,-0.0291269443751803,2.0,2.0,1.0,0.0015,0.0001,-0.0306269443751803
news_technical,2023-11-15,0.0156081688889652,2.0,4.0,0.0,0.0028,0.0,0.0128081688889652
news_technical,2023-11-17,0.0146723988494842,3.0,2.0,1.0,0.0015,0.0001,0.0131723988494842
news_technical,2023-11-21,-0.015496724214625,2.0,0.0,1.0,0.0001,0.0001,-0.015596724214625
news_technical,2023-11-27,0.0099771239147986,1.0,0.0,0.0,0.0,0.0,0.0099771239147986
news_technical,2023-12-01,0.0076471721331095,2.0,4.0,0.0,0.0028,0.0,0.0048471721331095
news_technical,2023-12-06,-0.091083174797008,1.0,2.0,1.0,0.0015,0.0001,-0.092583174797008
news_technical,2023-12-07,-0.0058616915114398,1.0,0.0,1.0,0.0001,0.0001,-0.0059616915114398
news_technical,2023-12-08,-0.0320941579930626,1.0,2.0,1.0,0.0015,0.0001,-0.0335941579930626
news_technical,2023-12-11,0.0172143829346548,1.0,2.0,0.0,0.0014,0.0,0.0158143829346548
news_technical,2023-12-12,0.0090981784214311,1.0,2.0,0.0,0.0014,0.0,0.0076981784214311
news_technical,2023-12-13,0.0082851315153446,2.0,4.0,2.0,0.003,0.0002,0.0052851315153446
news_technical,2023-12-14,0.0247812604289218,2.0,0.0,1.0,0.0001,0.0001,0.0246812604289218
news_technical,2023-12-15,-0.0124428372442201,1.0,2.0,0.0,0.0014,0.0,-0.0138428372442201
